,Datetime,PV Leistung in kW
547,06.01. 16:45,0.0
548,06.01. 17:00,0.0
549,06.01. 17:15,0.0
550,06.01. 17:30,0.0
551,06.01. 17:45,0.0
552,06.01. 18:00,0.0
553,06.01. 18:15,0.0
554,06.01. 18:30,0.0
555,06.01. 18:45,0.0
556,06.01. 19:00,0.0
557,06.01. 19:15,0.0
558,06.01. 19:30,0.0
559,06.01. 19:45,0.0
560,06.01. 20:00,0.0
561,06.01. 20:15,0.0
562,06.01. 20:30,0.0
563,06.01. 20:45,0.0
564,06.01. 21:00,0.0
565,06.01. 21:15,0.0
566,06.01. 21:30,0.0
567,06.01. 21:45,0.0
568,06.01. 22:00,0.0
569,06.01. 22:15,0.0
570,06.01. 22:30,0.0
571,06.01. 22:45,0.0
572,06.01. 23:00,0.0
573,06.01. 23:15,0.0
574,06.01. 23:30,0.0
575,06.01. 23:45,0.0
576,07.01. 00:00,0.0
577,07.01. 00:15,0.0
578,07.01. 00:30,0.0
579,07.01. 00:45,0.0
580,07.01. 01:00,0.0
581,07.01. 01:15,0.0
582,07.01. 01:30,0.0
583,07.01. 01:45,0.0
584,07.01. 02:00,0.0
585,07.01. 02:15,0.0
586,07.01. 02:30,0.0
587,07.01. 02:45,0.0
588,07.01. 03:00,0.0
589,07.01. 03:15,0.0
590,07.01. 03:30,0.0
591,07.01. 03:45,0.0
592,07.01. 04:00,0.0
593,07.01. 04:15,0.0
594,07.01. 04:30,0.0
595,07.01. 04:45,0.0
596,07.01. 05:00,0.0
597,07.01. 05:15,0.0
598,07.01. 05:30,0.0
599,07.01. 05:45,0.0
600,07.01. 06:00,0.0
601,07.01. 06:15,0.0
602,07.01. 06:30,0.0
603,07.01. 06:45,0.0
604,07.01. 07:00,0.0
605,07.01. 07:15,0.00455916666666665
606,07.01. 07:30,0.0091183333333333
607,07.01. 07:45,0.01367749999999995
608,07.01. 08:00,0.0182366666666666
609,07.01. 08:15,0.027677083333333276
610,07.01. 08:30,0.037117499999999956
611,07.01. 08:45,0.04655791666666663
612,07.01. 09:00,0.0559983333333333
613,07.01. 09:15,0.08841291666666665
614,07.01. 09:30,0.12082749999999999
615,07.01. 09:45,0.15324208333333333
616,07.01. 10:00,0.1856566666666667
617,07.01. 10:15,0.17515083333333334
618,07.01. 10:30,0.16464499999999999
619,07.01. 10:45,0.15413916666666666
620,07.01. 11:00,0.1436333333333333
621,07.01. 11:15,0.13632249999999999
622,07.01. 11:30,0.12901166666666666
623,07.01. 11:45,0.12170083333333333
624,07.01. 12:00,0.11439
625,07.01. 12:15,0.10075541666666665
626,07.01. 12:30,0.0871208333333333
627,07.01. 12:45,0.07348624999999995
628,07.01. 13:00,0.0598516666666666
629,07.01. 13:15,0.05464708333333328
630,07.01. 13:30,0.04944249999999995
631,07.01. 13:45,0.04423791666666663
632,07.01. 14:00,0.0390333333333333
633,07.01. 14:15,0.0351808333333333
634,07.01. 14:30,0.0313283333333333
635,07.01. 14:45,0.0274758333333333
636,07.01. 15:00,0.0236233333333333
637,07.01. 15:15,0.017717499999999973
638,07.01. 15:30,0.01181166666666665
639,07.01. 15:45,0.0059058333333333254
640,07.01. 16:00,0.0
641,07.01. 16:15,0.0
642,07.01. 16:30,0.0
643,07.01. 16:45,0.0
644,07.01. 17:00,0.0
645,07.01. 17:15,0.0
646,07.01. 17:30,0.0
647,07.01. 17:45,0.0
648,07.01. 18:00,0.0
649,07.01. 18:15,0.0
650,07.01. 18:30,0.0
651,07.01. 18:45,0.0
652,07.01. 19:00,0.0
653,07.01. 19:15,0.0
654,07.01. 19:30,0.0
655,07.01. 19:45,0.0
656,07.01. 20:00,0.0
657,07.01. 20:15,0.0
658,07.01. 20:30,0.0
659,07.01. 20:45,0.0
660,07.01. 21:00,0.0
661,07.01. 21:15,0.0
662,07.01. 21:30,0.0
663,07.01. 21:45,0.0
664,07.01. 22:00,0.0
665,07.01. 22:15,0.0
666,07.01. 22:30,0.0
667,07.01. 22:45,0.0
668,07.01. 23:00,0.0
669,07.01. 23:15,0.0
670,07.01. 23:30,0.0
671,07.01. 23:45,0.0
672,08.01. 00:00,0.0
673,08.01. 00:15,0.0
674,08.01. 00:30,0.0
675,08.01. 00:45,0.0
676,08.01. 01:00,0.0
677,08.01. 01:15,0.0
678,08.01. 01:30,0.0
679,08.01. 01:45,0.0
680,08.01. 02:00,0.0
681,08.01. 02:15,0.0
682,08.01. 02:30,0.0
683,08.01. 02:45,0.0
684,08.01. 03:00,0.0
685,08.01. 03:15,0.0
686,08.01. 03:30,0.0
687,08.01. 03:45,0.0
688,08.01. 04:00,0.0
689,08.01. 04:15,0.0
690,08.01. 04:30,0.0
691,08.01. 04:45,0.0
692,08.01. 05:00,0.0
693,08.01. 05:15,0.0
694,08.01. 05:30,0.0
695,08.01. 05:45,0.0
696,08.01. 06:00,0.0
697,08.01. 06:15,0.0
698,08.01. 06:30,0.0
699,08.01. 06:45,0.0
700,08.01. 07:00,0.0
701,08.01. 07:15,0.00432541666666665
702,08.01. 07:30,0.0086508333333333
703,08.01. 07:45,0.01297624999999995
704,08.01. 08:00,0.0173016666666666
705,08.01. 08:15,0.04294249999999995
706,08.01. 08:30,0.0685833333333333
707,08.01. 08:45,0.09422416666666665
708,08.01. 09:00,0.119865
709,08.01. 09:15,0.12985791666666666
710,08.01. 09:30,0.1398508333333333
711,08.01. 09:45,0.14984374999999994
712,08.01. 10:00,0.1598366666666666
713,08.01. 10:15,0.15654999999999994
714,08.01. 10:30,0.1532633333333333
715,08.01. 10:45,0.14997666666666665
716,08.01. 11:00,0.14669
717,08.01. 11:15,0.14985874999999996
718,08.01. 11:30,0.15302749999999993
719,08.01. 11:45,0.15619624999999993
720,08.01. 12:00,0.1593649999999999
721,08.01. 12:15,0.17355958333333324
722,08.01. 12:30,0.1877541666666666
723,08.01. 12:45,0.20194874999999995
724,08.01. 13:00,0.2161433333333333
725,08.01. 13:15,0.2012354166666666
726,08.01. 13:30,0.18632749999999995
727,08.01. 13:45,0.1714195833333333
728,08.01. 14:00,0.1565116666666666
729,08.01. 14:15,0.12691874999999997
730,08.01. 14:30,0.0973258333333333
731,08.01. 14:45,0.06773291666666666
732,08.01. 15:00,0.03814
733,08.01. 15:15,0.028605
734,08.01. 15:30,0.01907
735,08.01. 15:45,0.009535000000000002
736,08.01. 16:00,0.0
737,08.01. 16:15,0.0
738,08.01. 16:30,0.0
739,08.01. 16:45,0.0
740,08.01. 17:00,0.0
741,08.01. 17:15,0.0
742,08.01. 17:30,0.0
743,08.01. 17:45,0.0
744,08.01. 18:00,0.0
745,08.01. 18:15,0.0
746,08.01. 18:30,0.0
747,08.01. 18:45,0.0
748,08.01. 19:00,0.0
749,08.01. 19:15,0.0
750,08.01. 19:30,0.0
751,08.01. 19:45,0.0
752,08.01. 20:00,0.0
753,08.01. 20:15,0.0
754,08.01. 20:30,0.0
755,08.01. 20:45,0.0
756,08.01. 21:00,0.0
757,08.01. 21:15,0.0
758,08.01. 21:30,0.0
759,08.01. 21:45,0.0
760,08.01. 22:00,0.0
761,08.01. 22:15,0.0
762,08.01. 22:30,0.0
763,08.01. 22:45,0.0
764,08.01. 23:00,0.0
765,08.01. 23:15,0.0
766,08.01. 23:30,0.0
767,08.01. 23:45,0.0
768,09.01. 00:00,0.0
769,09.01. 00:15,0.0
770,09.01. 00:30,0.0
771,09.01. 00:45,0.0
772,09.01. 01:00,0.0
773,09.01. 01:15,0.0
774,09.01. 01:30,0.0
775,09.01. 01:45,0.0
776,09.01. 02:00,0.0
777,09.01. 02:15,0.0
778,09.01. 02:30,0.0
779,09.01. 02:45,0.0
780,09.01. 03:00,0.0
781,09.01. 03:15,0.0
782,09.01. 03:30,0.0
783,09.01. 03:45,0.0
784,09.01. 04:00,0.0
785,09.01. 04:15,0.0
786,09.01. 04:30,0.0
787,09.01. 04:45,0.0
788,09.01. 05:00,0.0
789,09.01. 05:15,0.0
790,09.01. 05:30,0.0
791,09.01. 05:45,0.0
792,09.01. 06:00,0.0
793,09.01. 06:15,0.0
794,09.01. 06:30,0.0
795,09.01. 06:45,0.0
796,09.01. 07:00,0.0
797,09.01. 07:15,0.012094583333333325
798,09.01. 07:30,0.02418916666666665
799,09.01. 07:45,0.036283749999999976
800,09.01. 08:00,0.0483783333333333
801,09.01. 08:15,0.07597124999999998
802,09.01. 08:30,0.10356416666666665
803,09.01. 08:45,0.1311570833333333
804,09.01. 09:00,0.15875
805,09.01. 09:15,0.169405
806,09.01. 09:30,0.18006
807,09.01. 09:45,0.190715
808,09.01. 10:00,0.20137
809,09.01. 10:15,0.19407291666666665
810,09.01. 10:30,0.1867758333333333
811,09.01. 10:45,0.17947874999999994
812,09.01. 11:00,0.1721816666666666
813,09.01. 11:15,0.17400499999999994
814,09.01. 11:30,0.1758283333333333
815,09.01. 11:45,0.17765166666666665
816,09.01. 12:00,0.179475
817,09.01. 12:15,0.18568166666666666
818,09.01. 12:30,0.19188833333333333
819,09.01. 12:45,0.19809500000000002
820,09.01. 13:00,0.2043016666666667
821,09.01. 13:15,0.17721833333333334
822,09.01. 13:30,0.150135
823,09.01. 13:45,0.12305166666666664
824,09.01. 14:00,0.0959683333333333
825,09.01. 14:15,0.07832624999999994
826,09.01. 14:30,0.060684166666666595
827,09.01. 14:45,0.043042083333333245
828,09.01. 15:00,0.0253999999999999
829,09.01. 15:15,0.019049999999999925
830,09.01. 15:30,0.01269999999999995
831,09.01. 15:45,0.006349999999999974
832,09.01. 16:00,0.0
833,09.01. 16:15,0.0
