wochentag_uhrzeit,Bus_1,Bus_2,Bus_3,Bus_4,Bus_5,Bus_6,Bus_7,Bus_8,Bus_9,Bus_10,Bus_11,Bus_12,Bus_13,Bus_14,Bus_15,Bus_16,Bus_17,Bus_18,Bus_19
Mi 07:00,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Mi 07:15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Mi 07:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Mi 07:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mi 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mi 08:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mi 08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mi 08:45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mi 09:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mi 09:15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mi 09:30,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Mi 09:45,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Mi 10:00,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Mi 10:15,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Mi 10:30,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Mi 10:45,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Mi 11:00,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Mi 11:15,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Mi 11:30,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Mi 11:45,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Mi 12:00,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Mi 12:15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mi 12:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mi 12:45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mi 13:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mi 13:15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mi 13:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mi 13:45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mi 14:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mi 14:15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mi 14:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mi 14:45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mi 15:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Mi 15:15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Mi 15:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Mi 15:45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Mi 16:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mi 16:15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mi 16:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mi 16:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mi 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mi 17:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mi 17:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mi 17:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mi 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mi 18:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mi 18:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mi 18:45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mi 19:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mi 19:15,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Mi 19:30,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Mi 19:45,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
Mi 20:00,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1
Mi 20:15,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1
Mi 20:30,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1
Mi 20:45,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
